"Story","Title","Result","Date","Stability","Duration (s)"
"Create students data driven test","DataDriven Test for adding multiple students to the Student App.","FAILURE","2018-08-19T00:30:12.999+01:00","0.0","83.18"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2018-08-19T00:30:22.156+01:00","0.0","0.24"
"First serenity test","File does not exist","COMPROMISED","2018-08-19T00:30:19.961+01:00","0.0","0.25"
"First serenity test","Get all students","FAILURE","2018-08-19T00:30:20.207+01:00","0.0","0.14"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2018-08-19T00:30:23.378+01:00","0.0","0.16"
"First serenity test","This is a manual test","PENDING","2018-08-19T00:30:19.629+01:00","0.0","0.15"
"First serenity test","This is a pending test","PENDING","2018-08-19T00:30:19.381+01:00","0.0","0.25"
"First serenity test","This is a skipped test","IGNORED","2018-08-19T00:30:17.303+01:00","0.0","0.36"
"First serenity test","This is atest with error","ERROR","2018-08-19T00:30:17.666+01:00","0.0","0.26"
"First serenity test","This isa failing","FAILURE","2018-08-19T00:30:19.784+01:00","0.0","0.18"
"Students CRUD test","This test will create a new student","SUCCESS","2018-08-19T00:30:20.683+01:00","0.0","0.23"
"First serenity test","This test will get the information of all the students from the Student App","FAILURE","2018-08-19T00:30:17.930+01:00","0.0","1.45"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2018-08-19T00:30:22.947+01:00","0.0","0.29"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2018-08-19T00:30:23.682+01:00","0.0","0.23"
"Students CRUD test","Update the user information and verify the updated information!","SUCCESS","2018-08-19T00:30:21.765+01:00","0.0","0.39"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2018-08-19T00:30:20.917+01:00","0.0","0.85"
